original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume
-413.4,41.40000000000009,130070436.0,4.410178846255688,266.0,2.6998178425483172,154.0,-128.56345366579828,151.41184235001563,-52.0,-683.0,837.0,114.54926712804402,220.01660795992493,-0.8974165663397433,62531000.88844299,0.06534778750435079,31878.746159713428,632.4876746236112,58975.25965922102,-1671.5346804357603,130.80372742248537,36.50048016070633,0.5612420814040211,4.163561499332023,3.585755442129883,18.866677318138414,0.3734975542383911,0.3009509669432494,0.9735233576815842,0.9035724703411245,-0.11350145357237759,0.7725014816488961,0.2817134668709864,24.67546565634037,0.011770646877781593,7.912480380604541,0.042746160443196596,5.05902716375975,41.82605189579793,6.92553078924404,401.380349832527,0.14937861921567808,12.530580671468257,175.58950502419054,51.03564876802103,597.9374767398585,29.586527726088576,23964.950502419055,0.04363973697890886,0.00424435400718805,0.3367286646922034,136.96789099730762,0.0025911693153172093,131.2304608563842,0.055498130459402446,52.75371466686538,571.9058762054156,1.4960198479007334,965.1194341526782,0.005392305673887666,0.0045999013409650236,5.030329432880405,1907.520194595255,0.8065348102297306,0.8796198219346711,0.20152340379188163,0.9168565838419224,507.05204776183564,0.004455342735134437,41.34782608695652,0.04085753565904795,47.34335308316018,397.1294466403162,310.22628458498025,260507.2114624506,0.3824227841055745,0.007550493115751097,506.7687747035573,0.5007596587979816,0.7350531788465231,273.6063702926505,0.006306162431853509,6.0974720511018505,0.3766282098995162,303.17652498086204,0.7001443424267532,0.4818979910327348,8.710096504087907,18.074564879222002,20.225595721511866,19.289238509854115,16.245929501641772,21.854621244878167,1280.8908820152283,12.654804342012575,0.7518041001502934,758.6722352044842,0.5923004417135546,1291.7677879333496
-490.2,35.20000000000027,150947401.0,4.437764078108705,272.0,3.250647305851151,144.0,-143.467707893626,171.8359551694971,-43.0,-832.0,976.0,122.13443348347616,252.42379371525317,-1.1692477828132606,152304191.378643,0.06949960986507693,43134.78842534988,940.6309823099036,99576.3216127251,-2637.6043625972356,155.27684149178634,60.90787315849424,0.4343054299152941,5.182048741866416,3.8396124914164487,33.7674880402771,0.33889049751303896,0.26293907759494756,0.967699986225951,0.897912003225649,-0.10226998735848716,0.7495407518875873,0.26280484883949695,30.28202276799266,0.01105035428377524,7.910318952147514,0.03472502388509527,4.988475813774269,54.04617866257017,6.674880577822239,394.87167581257916,0.1666828517571039,6.887692637470664,164.64457577036725,68.86411134676999,896.5981426762347,18.877585479105107,21758.622625580414,0.019782234077140005,0.003538494922281131,0.3737289426915522,231.45799349975653,0.0027771757981912546,131.86155317256774,0.06147521413451223,71.97653305383238,871.2246729889523,1.3592944259074788,1282.3222991409275,0.004155542769098424,0.00380601884797039,4.968501747885481,1800.8877324608636,0.8394017835769448,0.905282982108647,0.13815097657999562,0.9326781156015879,795.1056685483248,0.0037380791170959,31.064308681672024,0.03329507897285319,78.28795079547243,598.4994640943194,294.4233654876742,349375.95391211146,0.25599387138583873,0.007249690345311287,558.5069667738478,0.5986141122978005,0.8017433097789297,446.71541287962447,0.006827074555168007,6.087081963994344,0.39383706205149854,287.97622945264095,0.7109230089647969,0.6670086216659774,12.885054312513827,19.317672806583847,18.9427352086231,23.160639993310387,18.695283245531893,23.316945813801123,2371.2070521555925,13.733378077854022,0.8060661977686615,1066.8247115046565,0.4499078688783582,2390.2937512385874
-696.0,91.0,348247288.0,5.154500286848689,483.5,2.2492946872426955,376.0,-205.73846153846154,263.47168047337277,-70.0,-1024.0,1400.0,207.7712017017068,365.97986913952604,-0.7225120826091368,382595897.4609375,0.038763313609467456,91612.95005917158,1309.9760688929566,390469.70982182,-6713.618430039871,370.67015283594435,138.8586250573115,0.45351624595615253,8.148940803265056,4.457454122216973,71.70221498446548,0.26830950443159296,0.1931337329531007,0.963377858253546,0.8880724927729449,-0.13063700253972554,0.8496608756496081,0.19507083881997617,35.38256717574814,0.00427204341703444,9.25873125945056,0.02040764127351685,5.784167533977096,127.38219447331402,7.108493488373758,616.6723076923076,0.23718165680473371,4.450459171597634,100.78461538461538,146.44832840236685,1254.57,11.624615384615385,19905.046153846153,0.021234231141985235,0.00451484687075437,0.47732207120135295,450.2141581608993,0.00288851083662636,86.0422063722598,0.03537239623440618,149.16315718167982,1224.6605853076674,1.2284920375138613,1612.862789589469,0.005147157774561739,0.004673039246587876,5.527170066045749,2155.2100644535485,0.8859310764241103,0.9354437869822486,0.08521371822405535,0.9536372541591795,1147.1562617075474,0.004560617915124346,31.219584569732937,0.023159929206033335,152.13780389014605,935.3902077151336,62.10089020771513,113071.34421364985,0.04695373950608941,0.006272675308713758,822.1780415430267,0.6099243631624828,0.8083334729489217,711.353224769104,0.005244781038100909,6.55469658359923,0.5184615384615384,58.38068486999094,0.08395778323196504,0.06407602497532307,13.210459311850004,206.16852117367785,18.75,22.134620083705975,22.284120607508836,136.41117187569353,2821.2432861328125,17.309452009954438,0.6471006746927768,1492.1276020971102,0.5288900852440936,2856.4453125
-468.0,148.0,91238553.0,4.81375054216073,245.5,3.9354197659436654,366.0,-66.28335535006605,184.39368884685257,20.5,-925.0,1291.0,116.7138842597131,245.48573287715752,-1.2892199629181291,78213224.90753174,0.051493851311144416,55869.76184977201,1339.2988088440534,189471.4705385411,-4044.809665023138,189.92224127403327,95.88835762191009,0.3229437908039061,6.5321392610657405,4.146655668519227,52.7541375049603,0.29607941194114357,0.21608464754856055,0.9696300680787622,0.9002000302838069,-0.14702810969683153,0.8587604981286359,0.21828467498602916,36.2733195506694,0.005708998658505162,8.502852047319818,0.021901705520825692,5.3205808012376,71.45264972398584,6.853085796332296,315.8428005284016,0.20861479559339602,3.9554331305001833,77.96169088507266,89.45572717167292,1304.9498018494055,11.768824306472919,17965.783355350068,0.010421507329201819,0.0029333295614057883,0.42753648063705496,453.45867552783557,0.0024371124843610465,67.35945027102471,0.04778774495013968,93.36644552958231,1287.977650514658,1.2406297731704763,1657.2738863086684,0.003273495515463944,0.0030960668569134675,5.212514695233665,1233.7538248838316,0.8751571753551886,0.9309521390102632,0.08638101650815264,0.9491210596183675,1210.063930899649,0.0030579046968554164,19.028530670470754,0.027144836905093804,126.5652206649966,1066.8930099857346,72.00855920114122,111296.11126961483,0.05182639389467952,0.005397590181407406,404.7432239657632,0.5773797774119304,0.7873809482481217,784.3728895023596,0.005128496180318812,6.435141532519943,0.4630118890356671,67.34394516901675,0.6302112776646979,0.383328915629399,8.10240944848002,21.136963892161475,18.463441760425518,23.95326259745215,17.46931601274432,24.181220922701566,1279.1431172688801,13.320753020431669,0.6658841649225773,855.7853798949881,0.6690302033772341,1297.8594970703125
-185.0,51.0,232763530.0,3.4444923284678985,63.0,8.834677495418543,391.0,-30.96173141990433,75.04021442856454,5.0,-778.0,1169.0,34.48031005671422,116.5270419727064,-2.3069808143837154,99647091.50028229,0.14439204731597372,12619.922698390585,1020.3423872648266,19988.869590671067,-707.7584960111811,43.162069946685584,16.022008730299707,0.45243022185799764,2.3811701206834366,2.8241377292439855,10.25681066108907,0.49060797368404363,0.4354485282157635,0.9934563931449686,0.9561033555982417,-0.07026667274104667,0.5776642466220155,0.4016331401413457,31.836325962033325,0.033941327572826835,6.216108106810099,0.09153643489274817,4.012786025900331,14.796019669246316,6.540384857119262,1379.4818574262047,0.08047379870646393,15.211967660958399,2475.168475090421,20.299707382211174,998.8192742970482,52.94318049235795,57838.12647299032,0.04911262619997577,0.0012745797241054254,0.17956944837664707,131.67989384491497,0.0004523810432061551,1670.625446084294,0.12143503350807155,23.761252916443105,976.8997223900905,1.9440665472832634,2004.9700873796132,0.002238553511888641,0.001358472690300939,4.461741014817941,9534.46189856605,0.691953314124649,0.8022087001785986,0.38368828826924983,0.8574690448434319,822.3241945035077,0.001224089698733827,154.57814966845595,0.048809014735856,42.12262887455683,703.7183454373223,11593.297758130722,12693186.435743606,10.610006991601537,0.0025690018193013702,1593.471108304389,0.5031484396287935,0.7372366071021188,485.7229878581894,0.002168644794977464,6.073756489284767,0.18475090421187726,11564.0005082808,0.7722178854512495,0.6609411897481365,18.32468126230242,27.725131292370158,30.04848434256544,26.81064042620908,32.878011065190414,33.74165891077416,7320.674439271291,21.40984226045235,0.7605174270039556,2397.410206945702,0.3274848822787349,7338.565635681152
-457.9,16.0,456120831.0,4.415638812288515,302.0,2.7380687031680813,88.0,-166.49032529444756,161.60308794437648,-98.0,-776.0,864.0,124.2958968964026,252.8915313181739,-0.8819946144221532,271868935.56690794,0.06854219872422573,36235.09819579996,758.446804392641,102477.3337670048,-2438.6789295671892,177.38156843212,25.55087791777669,0.7471969967176523,3.2489333214760543,3.2805232291837596,14.771407902674422,0.44954059903790916,0.38779603756983655,0.9821900740943893,0.9249996698403433,-0.1746137205714775,0.8705617148638691,0.31139663111204186,26.84135468083734,0.01865043500763698,7.762754310381878,0.09198476475320033,5.206669630096965,50.733111587474156,7.537827256453559,703.3407178911946,0.09861759925563582,28.371382336260485,488.8429613011778,58.01540008788681,726.6424565339315,63.85501962983735,65184.95597307908,0.07577845968583442,0.0032950739857046125,0.23462400757851917,111.34301973666749,0.0012798480264758325,293.0048117781247,0.05071117136335097,59.25450747522143,671.1748398338773,2.003573357201471,1662.3604334720067,0.0051003627570648715,0.0037132010298724124,5.326208903475523,4219.8446993268635,0.7298695404258729,0.8093532939298502,0.47101536754963547,0.8772099852186639,557.6683547901431,0.0034993794808225597,74.98522427440633,0.03957003919493738,49.06456123251718,461.2295514511873,1206.8707124010555,1273888.4865435357,1.176917476745464,0.005523412567090564,784.3435356200528,0.4139016019103181,0.6680952046107939,290.343885955352,0.00385204510617136,6.574263979007021,0.265703869882221,1192.706114827939,0.7808707065690218,0.5588831572224026,13.895591212703243,24.863141844823243,25.069361117966697,26.376180287931746,24.954933789929967,29.548031003894067,4231.404106177372,19.41489913989294,0.7081204988409517,1786.6245334105024,0.42222971112643964,4250.999114011496
-729.0,165.5999999999999,408007511.0,5.5780899227879015,608.0,1.9147235367903988,544.0,-225.7496855345912,305.68455783658345,-142.0,-1024.0,1568.0,247.11930679771004,413.6089114806214,-0.3565373451278796,302016328.48160666,0.023925741334071705,120109.41113721768,1293.8018740803407,631342.6505768658,-7035.10695002307,537.2366160091938,167.1678027646754,0.523605636784605,9.631418001068937,4.7028129926348585,72.9722944294873,0.20087777306611448,0.11934201682999405,0.9633345952717709,0.8783145909463891,-0.14715555169425132,0.8932624872162125,0.12370875639792508,34.655981593232255,0.0012862904026594531,10.178523389097219,0.00529840950173989,6.273145690871459,176.10110469346697,7.2289345963621585,790.8415094339623,0.3315897314188521,1.5091649855622797,57.062893081761004,192.28822629203313,1247.325786163522,5.285953878406708,8585.376939203354,0.021894353993690746,0.009241585849513697,0.5669728533582855,607.2338466328142,0.0065521791519924846,53.89345396343921,0.023447814758285796,193.13869890138417,1233.2912414140458,1.1171478642457773,1423.8610263215535,0.009903902960964309,0.009434835544016957,5.794686832257859,2139.9837385558812,0.9309503250812777,0.9637155297532656,0.04024938728050455,0.9728958886053637,1189.6332974790612,0.009319412776507429,30.977631578947367,0.02038002077562327,196.85591412742377,1081.7618421052632,6.845394736842105,11734.936842105262,0.02278061493408922,0.011579934047690236,882.4065789473684,0.5805306440443213,0.7902296829928438,813.5801979677667,0.009582782022401048,6.8375572236341355,0.6373165618448637,4.3833859937673125,0.9504639959427501,0.854894383702266,12.473955466653177,14.591224020717723,17.014406983546124,18.978986684752606,16.2332744729632,19.118879082730935,1751.5822675217275,13.868433088427208,0.8422614026293561,834.3038579874968,0.47631440067495867,1765.4305962730962
-773.0,-51.0,2457805427.0,5.161290241963086,413.0,2.1385327425706318,385.0,-475.0449773323789,219.3625165184215,-539.0,-980.0,1365.0,168.54534511614708,541.5018206661699,0.5382152635000096,2073773329.03125,0.03096732547918723,67556.49129605651,595.4142235551134,311081.4405782429,3829.025845366138,385.3505621063571,36.07411784135577,0.8287891080436095,4.5431569009226624,3.657015934686456,14.801875131833716,0.3063718740401548,0.2164207239890788,0.9889733168471235,0.9285840901381313,-0.17079115979949283,0.9018865183982014,0.21985717989010498,22.539724474085343,0.0019385440052765797,9.446675068843849,0.0069569238276304315,6.0772583124123685,105.35616998692828,7.592991923321905,1612.664757814364,0.19239617726251063,3.241783916074719,259.56812216654737,108.1071410678175,570.9216177523264,12.121927940825579,9178.84908136483,0.04431450666353367,0.004903312061926228,0.30663681672429594,162.54022187545223,0.0018550146688855683,238.77366705930802,0.030833620661727627,105.89037003712838,562.3372773213545,1.2676789953500225,746.7772977347993,0.006028867400706786,0.004981171520198931,5.565489983149679,6677.550174607746,0.8618610664360367,0.9238478057375695,0.09493551691817055,0.9432061192095478,524.9340234547841,0.004752938057754641,89.99800399201597,0.029939455752500323,91.81535885868537,514.9208250166334,53.083166999334665,61096.36027944112,0.11398282578852349,0.006004653888581546,1073.9846972721225,0.35728033841387974,0.6196647482347084,326.1736121972764,0.004069577074599336,7.2504331435567,0.3586256263421618,45.3078633152856,0.8619264845027697,0.6486694074559467,16.93685651795148,26.110151524452334,28.02231253840411,27.50568123133837,28.15248656868519,30.344892486215866,7046.859375,22.50503111330583,0.8128824485475878,2186.687796538512,0.31030671681858446,7072.3125
-90.0,66.0,1925581356.0,3.0475851365292654,44.0,21.935221014737174,194.0,-4.964266232745629,69.94013871533777,30.0,-960.0,1154.0,21.359777195618708,133.42757385799212,-4.0883278320102425,1619683057.3267972,0.1948133715221658,17778.27352640036,1592.0602519809534,222553.22635287693,-3831.6280170198715,85.11221965550018,7.920476171552425,0.8275166761365779,1.62714860845351,2.3633138184930362,5.249284837652137,0.5533404671289567,0.5092612475781801,0.9966041095592973,0.9683910894267165,-0.11824771288669406,0.6958462243558401,0.450321856288056,39.65800665395567,0.053810476274762924,5.467299954956961,0.1331841968291653,3.6455132469027443,23.258173956763155,6.429186235473679,7156.544586311147,0.06616566587135056,18.45372360125799,21071.209077208976,28.52567626869216,1574.6444097225433,76.28476992631356,126583.58619095608,0.056084690937707814,0.0009656902796315157,0.10858255981479127,139.10453433065783,0.00017169415427118108,13081.045466860294,0.1620587120653855,32.988550978920436,1549.4476861746318,2.392649102630978,3851.976699157885,0.002085108825560447,0.0010269846909703303,4.310628463576918,50222.84118691202,0.6210451300711625,0.7459741283115698,0.5857234229865806,0.8157889661143619,1247.1197274071756,0.0008757310740257465,650.6048823016565,0.056722308831879384,55.567866448162036,1218.9725370531821,186032.47314734088,311816889.4800349,111.3752817623632,0.0016520307943872256,4957.450915431561,0.43221019315009246,0.6833579555527891,804.5744761718239,0.0012466582243826636,6.382454149549374,0.10604561718179381,185943.55005605007,0.7077693784484023,0.6637632760257547,47.32735607094356,71.30155852296234,118.41489815510731,78.28233644260887,58.38063330184961,120.20310846110763,90887.95585932462,50.46505975819944,0.7153676373385178,13665.506276710545,0.15035552453024542,90978.51857448278
-312.0,106.0,815507465.0,4.010737841896391,150.75,4.959204900886107,231.0,-24.95616774481374,131.97840497292944,50.0,-811.0,1042.0,78.77958002146543,174.1221318621598,-1.6555023383291476,364116649.9548458,0.10142596291912254,29695.706495716076,1136.1546830668428,104218.1870991718,-2792.4443028702317,130.83784760924476,22.721195064836856,0.6985757738321067,3.0341369790459747,3.1465343008226196,13.310282427564953,0.4319061025297381,0.3651453643747959,0.9886247317831288,0.9392639778059895,-0.12189403095095173,0.7639311020643983,0.3531932431779382,33.30300387900676,0.02037687565373627,7.1913763027382425,0.05442829256411411,4.665575206711734,38.38976066852039,6.8375221605808765,2695.065134954272,0.10019574447744337,11.261751981683807,2728.1555505985575,47.59401060953489,1105.3693954940888,36.42783850100379,47473.482191984534,0.030235439888044235,0.0014209643114547524,0.21919560279184616,173.1924905901526,0.0005487251875821261,1952.84745247179,0.08586034666055646,51.849541796204754,1073.4853985808554,1.6607612885480403,1923.4927351480412,0.002093809635698465,0.0015183841580555225,4.844141616057989,17064.449303496905,0.7499092228914256,0.8455161092903676,0.26050332957210137,0.8890270888587235,932.5280207111653,0.0014170133056490403,239.6828803051979,0.038099329248958494,63.36148177761546,740.6598315053251,9799.438880941027,12982148.641869336,7.41681501348168,0.0026432592389745704,2898.2904148783978,0.46070424652335046,0.705506297905954,502.8977695829761,0.001986063679104574,6.534745053371886,0.23388356011599376,9781.157853181272,0.6241567175055772,0.5597316164244148,21.235945504007535,37.939514011489116,34.50359763818601,46.22807047287788,33.919282319145324,46.65745993191369,11986.140832778874,23.680202529167904,0.7186295690532458,3524.509014667911,0.2940486903865943,12009.711830762264
